期号,日期,开奖号码
24329,2024-12-08,"['1', '4', '7']"
24328,2024-12-07,"['1', '2', '5']"
24327,2024-12-06,"['1', '3', '4']"
24326,2024-12-05,"['2', '5', '7']"
24325,2024-12-04,"['0', '2', '3']"
24324,2024-12-03,"['6', '3', '0']"
24323,2024-12-02,"['9', '1', '4']"
24322,2024-12-01,"['6', '7', '8']"
24321,2024-11-30,"['0', '5', '0']"
24320,2024-11-29,"['8', '6', '3']"
24319,2024-11-28,"['7', '9', '3']"
24318,2024-11-27,"['2', '4', '3']"
24317,2024-11-26,"['3', '5', '5']"
24316,2024-11-25,"['3', '3', '2']"
24315,2024-11-24,"['0', '7', '1']"
24314,2024-11-23,"['0', '8', '0']"
24313,2024-11-22,"['4', '7', '1']"
24312,2024-11-21,"['4', '1', '3']"
24311,2024-11-20,"['5', '3', '3']"
24310,2024-11-19,"['7', '1', '8']"
24309,2024-11-18,"['4', '8', '3']"
24308,2024-11-17,"['8', '4', '3']"
24307,2024-11-16,"['5', '8', '2']"
24306,2024-11-15,"['5', '0', '8']"
24305,2024-11-14,"['8', '4', '1']"
24304,2024-11-13,"['4', '2', '5']"
24303,2024-11-12,"['2', '0', '1']"
24302,2024-11-11,"['3', '9', '8']"
24301,2024-11-10,"['8', '7', '7']"
24300,2024-11-09,"['9', '3', '3']"
24299,2024-11-08,"['5', '8', '1']"
24298,2024-11-07,"['6', '8', '0']"
24297,2024-11-06,"['0', '3', '7']"
24296,2024-11-05,"['8', '9', '8']"
24295,2024-11-04,"['5', '5', '2']"
24294,2024-11-03,"['7', '0', '1']"
24293,2024-11-02,"['0', '4', '4']"
24292,2024-11-01,"['0', '3', '0']"
24291,2024-10-31,"['3', '4', '0']"
24290,2024-10-30,"['0', '0', '4']"
24289,2024-10-29,"['0', '0', '6']"
24288,2024-10-28,"['8', '1', '0']"
24287,2024-10-27,"['9', '4', '5']"
24286,2024-10-26,"['1', '5', '6']"
24285,2024-10-25,"['3', '4', '7']"
24284,2024-10-24,"['0', '3', '4']"
24283,2024-10-23,"['2', '8', '5']"
24282,2024-10-22,"['9', '0', '5']"
24281,2024-10-21,"['4', '6', '5']"
24280,2024-10-20,"['8', '5', '9']"
24279,2024-10-19,"['8', '8', '6']"
24278,2024-10-18,"['1', '3', '4']"
24277,2024-10-17,"['6', '2', '3']"
24276,2024-10-16,"['0', '8', '8']"
24275,2024-10-15,"['6', '8', '1']"
24274,2024-10-14,"['2', '7', '4']"
24273,2024-10-13,"['8', '1', '2']"
24272,2024-10-12,"['4', '3', '6']"
24271,2024-10-11,"['3', '9', '5']"
24270,2024-10-10,"['8', '0', '1']"
24269,2024-10-09,"['3', '2', '4']"
24268,2024-10-08,"['8', '3', '1']"
24267,2024-10-07,"['8', '4', '1']"
24266,2024-10-06,"['1', '4', '3']"
24265,2024-10-05,"['7', '0', '1']"
24264,2024-09-30,"['3', '4', '7']"
24263,2024-09-29,"['4', '0', '4']"
24262,2024-09-28,"['2', '1', '6']"
24261,2024-09-27,"['1', '9', '5']"
24260,2024-09-26,"['5', '2', '3']"
24259,2024-09-25,"['4', '4', '4']"
24258,2024-09-24,"['6', '9', '0']"
24257,2024-09-23,"['0', '0', '8']"
24256,2024-09-22,"['5', '4', '9']"
24255,2024-09-21,"['1', '5', '5']"
24254,2024-09-20,"['4', '2', '3']"
24253,2024-09-19,"['1', '4', '8']"
24252,2024-09-18,"['7', '0', '0']"
24251,2024-09-17,"['3', '5', '6']"
24250,2024-09-16,"['6', '0', '6']"
24249,2024-09-15,"['1', '9', '8']"
24248,2024-09-14,"['9', '5', '4']"
24247,2024-09-13,"['4', '3', '4']"
24246,2024-09-12,"['8', '1', '6']"
24245,2024-09-11,"['1', '8', '4']"
24244,2024-09-10,"['3', '6', '8']"
24243,2024-09-09,"['9', '1', '6']"
24242,2024-09-08,"['1', '8', '8']"
24241,2024-09-07,"['0', '6', '3']"
24240,2024-09-06,"['8', '1', '5']"
24239,2024-09-05,"['1', '6', '8']"
24238,2024-09-04,"['4', '3', '0']"
24237,2024-09-03,"['3', '5', '6']"
24236,2024-09-02,"['3', '7', '6']"
24235,2024-09-01,"['9', '5', '4']"
24234,2024-08-31,"['2', '7', '5']"
24233,2024-08-30,"['4', '9', '8']"
24232,2024-08-29,"['2', '9', '7']"
24231,2024-08-28,"['6', '9', '6']"
24230,2024-08-27,"['0', '8', '8']"
24229,2024-08-26,"['9', '2', '6']"
24228,2024-08-25,"['2', '7', '4']"
24227,2024-08-24,"['9', '9', '5']"
24226,2024-08-23,"['2', '3', '2']"
24225,2024-08-22,"['7', '5', '8']"
24224,2024-08-21,"['8', '3', '5']"
24223,2024-08-20,"['5', '4', '9']"
24222,2024-08-19,"['9', '9', '3']"
24221,2024-08-18,"['5', '0', '0']"
24220,2024-08-17,"['7', '2', '4']"
24219,2024-08-16,"['9', '7', '1']"
24218,2024-08-15,"['2', '9', '1']"
24217,2024-08-14,"['1', '1', '1']"
24216,2024-08-13,"['8', '4', '8']"
24215,2024-08-12,"['8', '7', '7']"
24214,2024-08-11,"['1', '4', '5']"
24213,2024-08-10,"['7', '3', '4']"
24212,2024-08-09,"['7', '2', '7']"
24211,2024-08-08,"['6', '4', '9']"
