期号,日期,开奖号码
19323,2019-12-03,"['8', '3', '0']"
19322,2019-12-02,"['9', '7', '2']"
19321,2019-12-01,"['5', '9', '3']"
19320,2019-11-30,"['7', '8', '7']"
19319,2019-11-29,"['3', '3', '1']"
19318,2019-11-28,"['3', '1', '9']"
19317,2019-11-27,"['4', '2', '3']"
19316,2019-11-26,"['4', '8', '1']"
19315,2019-11-25,"['4', '5', '1']"
19314,2019-11-24,"['2', '0', '0']"
19313,2019-11-23,"['2', '4', '1']"
19312,2019-11-22,"['5', '7', '6']"
19311,2019-11-21,"['1', '1', '4']"
19310,2019-11-20,"['7', '5', '4']"
19309,2019-11-19,"['3', '5', '4']"
19308,2019-11-18,"['6', '7', '5']"
19307,2019-11-17,"['0', '2', '7']"
19306,2019-11-16,"['6', '4', '7']"
19305,2019-11-15,"['4', '8', '2']"
19304,2019-11-14,"['6', '6', '3']"
19303,2019-11-13,"['6', '6', '9']"
19302,2019-11-12,"['7', '4', '4']"
19301,2019-11-11,"['3', '7', '9']"
19300,2019-11-10,"['5', '3', '7']"
19299,2019-11-09,"['5', '7', '8']"
19298,2019-11-08,"['5', '5', '5']"
19297,2019-11-07,"['5', '2', '5']"
19296,2019-11-06,"['8', '7', '0']"
19295,2019-11-05,"['3', '3', '5']"
19294,2019-11-04,"['7', '5', '8']"
19293,2019-11-03,"['5', '9', '9']"
19292,2019-11-02,"['4', '8', '6']"
19291,2019-11-01,"['6', '7', '6']"
19290,2019-10-31,"['4', '8', '5']"
19289,2019-10-30,"['2', '4', '9']"
19288,2019-10-29,"['7', '8', '9']"
19287,2019-10-28,"['3', '3', '7']"
19286,2019-10-27,"['7', '7', '4']"
19285,2019-10-26,"['0', '7', '1']"
19284,2019-10-25,"['9', '9', '2']"
19283,2019-10-24,"['0', '4', '9']"
19282,2019-10-23,"['6', '2', '6']"
19281,2019-10-22,"['0', '0', '5']"
19280,2019-10-21,"['2', '9', '4']"
19279,2019-10-20,"['1', '7', '7']"
19278,2019-10-19,"['1', '9', '4']"
19277,2019-10-18,"['7', '3', '7']"
19276,2019-10-17,"['8', '1', '8']"
19275,2019-10-16,"['2', '8', '7']"
19274,2019-10-15,"['1', '0', '2']"
19273,2019-10-14,"['8', '2', '2']"
19272,2019-10-13,"['0', '1', '4']"
19271,2019-10-12,"['9', '5', '1']"
19270,2019-10-11,"['6', '0', '1']"
19269,2019-10-10,"['8', '5', '4']"
19268,2019-10-09,"['0', '8', '1']"
19267,2019-10-08,"['0', '3', '5']"
19266,2019-09-30,"['4', '6', '1']"
19265,2019-09-29,"['5', '9', '0']"
19264,2019-09-28,"['6', '6', '9']"
19263,2019-09-27,"['9', '8', '4']"
19262,2019-09-26,"['7', '8', '5']"
19261,2019-09-25,"['8', '6', '5']"
19260,2019-09-24,"['1', '6', '2']"
19259,2019-09-23,"['4', '3', '2']"
19258,2019-09-22,"['5', '1', '1']"
19257,2019-09-21,"['8', '7', '1']"
19256,2019-09-20,"['4', '7', '4']"
19255,2019-09-19,"['2', '7', '2']"
19254,2019-09-18,"['6', '1', '8']"
19253,2019-09-17,"['6', '3', '9']"
19252,2019-09-16,"['4', '1', '6']"
19251,2019-09-15,"['2', '7', '2']"
19250,2019-09-14,"['1', '7', '1']"
19249,2019-09-13,"['6', '2', '9']"
19248,2019-09-12,"['3', '1', '1']"
19247,2019-09-11,"['4', '8', '9']"
19246,2019-09-10,"['4', '2', '7']"
19245,2019-09-09,"['5', '9', '5']"
19244,2019-09-08,"['0', '9', '0']"
19243,2019-09-07,"['5', '1', '1']"
19242,2019-09-06,"['8', '9', '2']"
19241,2019-09-05,"['3', '8', '5']"
19240,2019-09-04,"['8', '9', '4']"
19239,2019-09-03,"['4', '9', '1']"
19238,2019-09-02,"['4', '1', '0']"
19237,2019-09-01,"['8', '0', '8']"
19236,2019-08-31,"['0', '2', '1']"
19235,2019-08-30,"['4', '2', '2']"
19234,2019-08-29,"['2', '4', '5']"
19233,2019-08-28,"['5', '3', '1']"
19232,2019-08-27,"['7', '7', '2']"
19231,2019-08-26,"['9', '3', '5']"
19230,2019-08-25,"['6', '3', '0']"
19229,2019-08-24,"['9', '4', '8']"
19228,2019-08-23,"['9', '7', '8']"
19227,2019-08-22,"['8', '2', '3']"
19226,2019-08-21,"['3', '9', '6']"
19225,2019-08-20,"['3', '9', '1']"
19224,2019-08-19,"['0', '9', '3']"
19223,2019-08-18,"['5', '3', '4']"
19222,2019-08-17,"['9', '0', '9']"
19221,2019-08-16,"['7', '9', '6']"
19220,2019-08-15,"['3', '2', '9']"
19219,2019-08-14,"['3', '8', '2']"
19218,2019-08-13,"['6', '4', '9']"
19217,2019-08-12,"['1', '2', '3']"
19216,2019-08-11,"['6', '5', '8']"
19215,2019-08-10,"['8', '7', '6']"
19214,2019-08-09,"['9', '2', '1']"
19213,2019-08-08,"['7', '2', '8']"
19212,2019-08-07,"['7', '7', '2']"
19211,2019-08-06,"['5', '9', '0']"
19210,2019-08-05,"['7', '7', '3']"
19209,2019-08-04,"['8', '6', '5']"
19208,2019-08-03,"['8', '5', '7']"
19207,2019-08-02,"['1', '1', '7']"
19206,2019-08-01,"['9', '1', '7']"
19205,2019-07-31,"['1', '8', '7']"
19204,2019-07-30,"['5', '6', '2']"
19203,2019-07-29,"['1', '0', '3']"
19202,2019-07-28,"['8', '2', '3']"
19201,2019-07-27,"['2', '3', '2']"
19200,2019-07-26,"['4', '7', '1']"
19199,2019-07-25,"['4', '7', '6']"
19198,2019-07-24,"['2', '5', '7']"
19197,2019-07-23,"['6', '2', '2']"
19196,2019-07-22,"['6', '4', '5']"
19195,2019-07-21,"['6', '8', '9']"
19194,2019-07-20,"['3', '1', '8']"
19193,2019-07-19,"['6', '5', '2']"
19192,2019-07-18,"['7', '2', '9']"
19191,2019-07-17,"['2', '5', '0']"
19190,2019-07-16,"['1', '7', '0']"
19189,2019-07-15,"['8', '9', '0']"
19188,2019-07-14,"['3', '1', '6']"
19187,2019-07-13,"['8', '9', '9']"
19186,2019-07-12,"['5', '4', '7']"
19185,2019-07-11,"['4', '3', '6']"
19184,2019-07-10,"['4', '4', '9']"
19183,2019-07-09,"['8', '3', '2']"
19182,2019-07-08,"['7', '6', '1']"
19181,2019-07-07,"['3', '0', '6']"
19180,2019-07-06,"['2', '4', '8']"
19179,2019-07-05,"['7', '6', '1']"
19178,2019-07-04,"['7', '7', '4']"
19177,2019-07-03,"['2', '3', '2']"
19176,2019-07-02,"['0', '9', '6']"
19175,2019-07-01,"['3', '8', '9']"
19174,2019-06-30,"['3', '9', '9']"
19173,2019-06-29,"['8', '8', '4']"
19172,2019-06-28,"['7', '5', '2']"
19171,2019-06-27,"['4', '4', '3']"
19170,2019-06-26,"['3', '6', '4']"
19169,2019-06-25,"['0', '4', '1']"
19168,2019-06-24,"['7', '0', '3']"
19167,2019-06-23,"['3', '0', '7']"
19166,2019-06-22,"['8', '6', '5']"
19165,2019-06-21,"['1', '1', '2']"
19164,2019-06-20,"['7', '9', '7']"
19163,2019-06-19,"['4', '9', '3']"
19162,2019-06-18,"['6', '1', '0']"
19161,2019-06-17,"['9', '9', '7']"
19160,2019-06-16,"['4', '6', '5']"
19159,2019-06-15,"['1', '9', '6']"
19158,2019-06-14,"['7', '2', '1']"
19157,2019-06-13,"['3', '1', '2']"
19156,2019-06-12,"['6', '5', '9']"
19155,2019-06-11,"['0', '8', '1']"
19154,2019-06-10,"['3', '7', '8']"
19153,2019-06-09,"['0', '6', '0']"
19152,2019-06-08,"['2', '8', '5']"
19151,2019-06-07,"['5', '7', '5']"
19150,2019-06-06,"['9', '6', '6']"
19149,2019-06-05,"['8', '8', '0']"
19148,2019-06-04,"['1', '9', '1']"
19147,2019-06-03,"['5', '3', '4']"
19146,2019-06-02,"['3', '7', '4']"
19145,2019-06-01,"['0', '8', '8']"
19144,2019-05-31,"['4', '8', '9']"
19143,2019-05-30,"['5', '8', '1']"
19142,2019-05-29,"['0', '8', '3']"
19141,2019-05-28,"['0', '0', '4']"
19140,2019-05-27,"['1', '5', '4']"
19139,2019-05-26,"['4', '0', '6']"
19138,2019-05-25,"['0', '0', '7']"
19137,2019-05-24,"['7', '7', '6']"
19136,2019-05-23,"['9', '3', '9']"
19135,2019-05-22,"['0', '9', '4']"
19134,2019-05-21,"['4', '1', '9']"
19133,2019-05-20,"['1', '9', '7']"
19132,2019-05-19,"['5', '9', '3']"
19131,2019-05-18,"['6', '2', '7']"
19130,2019-05-17,"['7', '2', '5']"
19129,2019-05-16,"['5', '4', '0']"
19128,2019-05-15,"['0', '6', '4']"
19127,2019-05-14,"['2', '8', '0']"
19126,2019-05-13,"['1', '8', '9']"
19125,2019-05-12,"['4', '8', '5']"
19124,2019-05-11,"['2', '7', '0']"
19123,2019-05-10,"['4', '7', '1']"
19122,2019-05-09,"['6', '9', '2']"
19121,2019-05-08,"['8', '8', '2']"
19120,2019-05-07,"['9', '1', '1']"
19119,2019-05-06,"['2', '1', '1']"
19118,2019-05-05,"['6', '2', '0']"
19117,2019-05-04,"['3', '5', '8']"
19116,2019-05-03,"['8', '2', '4']"
19115,2019-05-02,"['0', '0', '8']"
19114,2019-05-01,"['9', '4', '9']"
19113,2019-04-30,"['4', '7', '2']"
19112,2019-04-29,"['5', '4', '5']"
19111,2019-04-28,"['4', '8', '6']"
19110,2019-04-27,"['3', '0', '3']"
19109,2019-04-26,"['9', '8', '3']"
19108,2019-04-25,"['3', '0', '9']"
19107,2019-04-24,"['2', '1', '4']"
19106,2019-04-23,"['3', '8', '4']"
19105,2019-04-22,"['4', '5', '8']"
19104,2019-04-21,"['4', '6', '1']"
19103,2019-04-20,"['3', '4', '5']"
19102,2019-04-19,"['0', '5', '6']"
19101,2019-04-18,"['5', '6', '1']"
19100,2019-04-17,"['3', '8', '8']"
19099,2019-04-16,"['4', '6', '1']"
19098,2019-04-15,"['5', '4', '9']"
19097,2019-04-14,"['0', '7', '1']"
19096,2019-04-13,"['9', '1', '2']"
19095,2019-04-12,"['1', '1', '4']"
19094,2019-04-11,"['0', '8', '8']"
19093,2019-04-10,"['5', '2', '5']"
19092,2019-04-09,"['5', '1', '2']"
19091,2019-04-08,"['0', '3', '5']"
19090,2019-04-07,"['7', '8', '5']"
19089,2019-04-06,"['3', '8', '2']"
19088,2019-04-05,"['3', '8', '1']"
19087,2019-04-04,"['0', '5', '8']"
19086,2019-04-03,"['3', '4', '9']"
19085,2019-04-02,"['6', '1', '2']"
19084,2019-04-01,"['3', '0', '2']"
19083,2019-03-31,"['0', '5', '8']"
19082,2019-03-30,"['5', '9', '5']"
19081,2019-03-29,"['9', '5', '4']"
19080,2019-03-28,"['3', '1', '6']"
19079,2019-03-27,"['0', '8', '7']"
19078,2019-03-26,"['2', '3', '9']"
19077,2019-03-25,"['5', '1', '4']"
19076,2019-03-24,"['2', '1', '4']"
19075,2019-03-23,"['4', '2', '9']"
19074,2019-03-22,"['8', '4', '2']"
19073,2019-03-21,"['7', '0', '9']"
19072,2019-03-20,"['9', '2', '1']"
19071,2019-03-19,"['2', '0', '5']"
19070,2019-03-18,"['7', '5', '5']"
19069,2019-03-17,"['7', '9', '3']"
19068,2019-03-16,"['5', '5', '0']"
19067,2019-03-15,"['5', '7', '9']"
19066,2019-03-14,"['2', '5', '7']"
19065,2019-03-13,"['4', '3', '2']"
19064,2019-03-12,"['7', '5', '2']"
19063,2019-03-11,"['2', '1', '1']"
19062,2019-03-10,"['8', '4', '8']"
19061,2019-03-09,"['2', '8', '8']"
19060,2019-03-08,"['2', '3', '9']"
19059,2019-03-07,"['1', '0', '4']"
19058,2019-03-06,"['4', '1', '7']"
19057,2019-03-05,"['8', '6', '8']"
19056,2019-03-04,"['2', '5', '2']"
19055,2019-03-03,"['1', '8', '2']"
19054,2019-03-02,"['3', '7', '4']"
19053,2019-03-01,"['3', '6', '4']"
19052,2019-02-28,"['5', '7', '7']"
19051,2019-02-27,"['3', '3', '7']"
19050,2019-02-26,"['8', '1', '1']"
19049,2019-02-25,"['6', '3', '2']"
19048,2019-02-24,"['1', '6', '1']"
19047,2019-02-23,"['3', '6', '3']"
19046,2019-02-22,"['2', '3', '1']"
19045,2019-02-21,"['3', '7', '7']"
19044,2019-02-20,"['1', '0', '5']"
19043,2019-02-19,"['6', '0', '3']"
19042,2019-02-18,"['3', '2', '8']"
19041,2019-02-17,"['1', '3', '0']"
19040,2019-02-16,"['3', '0', '1']"
19039,2019-02-15,"['0', '6', '6']"
19038,2019-02-14,"['0', '4', '8']"
19037,2019-02-13,"['6', '9', '9']"
19036,2019-02-12,"['5', '0', '7']"
19035,2019-02-11,"['5', '7', '5']"
19034,2019-02-03,"['8', '0', '8']"
19033,2019-02-02,"['3', '4', '2']"
19032,2019-02-01,"['8', '4', '8']"
19031,2019-01-31,"['7', '1', '2']"
19030,2019-01-30,"['8', '3', '8']"
19029,2019-01-29,"['2', '5', '3']"
19028,2019-01-28,"['5', '0', '1']"
19027,2019-01-27,"['6', '1', '3']"
19026,2019-01-26,"['1', '8', '5']"
19025,2019-01-25,"['1', '6', '2']"
19024,2019-01-24,"['5', '8', '8']"
19023,2019-01-23,"['6', '6', '1']"
19022,2019-01-22,"['0', '7', '4']"
19021,2019-01-21,"['6', '6', '2']"
19020,2019-01-20,"['8', '2', '1']"
19019,2019-01-19,"['9', '9', '9']"
19018,2019-01-18,"['1', '7', '0']"
19017,2019-01-17,"['1', '4', '7']"
19016,2019-01-16,"['5', '9', '1']"
19015,2019-01-15,"['4', '2', '4']"
19014,2019-01-14,"['0', '2', '3']"
19013,2019-01-13,"['2', '2', '3']"
19012,2019-01-12,"['5', '4', '1']"
19011,2019-01-11,"['4', '9', '2']"
19010,2019-01-10,"['4', '2', '5']"
19009,2019-01-09,"['6', '6', '8']"
19008,2019-01-08,"['9', '8', '7']"
19007,2019-01-07,"['7', '5', '1']"
19006,2019-01-06,"['1', '4', '8']"
19005,2019-01-05,"['0', '6', '2']"
19004,2019-01-04,"['2', '4', '1']"
19003,2019-01-03,"['5', '4', '2']"
19002,2019-01-02,"['7', '5', '4']"
19001,2019-01-01,"['3', '2', '2']"
18358,2018-12-31,"['3', '2', '9']"
18357,2018-12-30,"['9', '2', '2']"
18356,2018-12-29,"['1', '8', '8']"
18355,2018-12-28,"['3', '7', '8']"
18354,2018-12-27,"['4', '6', '9']"
18353,2018-12-26,"['6', '9', '1']"
18352,2018-12-25,"['0', '6', '8']"
18351,2018-12-24,"['3', '1', '8']"
18350,2018-12-23,"['8', '9', '2']"
18349,2018-12-22,"['4', '9', '4']"
18348,2018-12-21,"['1', '4', '4']"
18347,2018-12-20,"['4', '7', '1']"
18346,2018-12-19,"['5', '9', '6']"
18345,2018-12-18,"['4', '7', '8']"
18344,2018-12-17,"['8', '8', '7']"
18343,2018-12-16,"['9', '7', '4']"
18342,2018-12-15,"['0', '7', '8']"
18341,2018-12-14,"['0', '3', '0']"
18340,2018-12-13,"['6', '9', '5']"
18339,2018-12-12,"['8', '4', '1']"
18338,2018-12-11,"['5', '7', '5']"
18337,2018-12-10,"['5', '5', '8']"
18336,2018-12-09,"['2', '1', '0']"
18335,2018-12-08,"['3', '5', '9']"
18334,2018-12-07,"['4', '5', '4']"
18333,2018-12-06,"['8', '3', '6']"
18332,2018-12-05,"['9', '6', '5']"
18331,2018-12-04,"['4', '5', '8']"
18330,2018-12-03,"['2', '3', '6']"
18329,2018-12-02,"['6', '0', '1']"
18328,2018-12-01,"['6', '2', '9']"
18327,2018-11-30,"['0', '6', '8']"
18326,2018-11-29,"['5', '3', '1']"
18325,2018-11-28,"['6', '4', '4']"
18324,2018-11-27,"['0', '3', '4']"
18323,2018-11-26,"['2', '6', '5']"
18322,2018-11-25,"['4', '3', '4']"
18321,2018-11-24,"['8', '2', '9']"
18320,2018-11-23,"['3', '2', '9']"
18319,2018-11-22,"['4', '0', '8']"
18318,2018-11-21,"['3', '4', '6']"
18317,2018-11-20,"['2', '9', '9']"
18316,2018-11-19,"['7', '3', '1']"
18315,2018-11-18,"['7', '7', '3']"
18314,2018-11-17,"['8', '6', '7']"
18313,2018-11-16,"['3', '8', '3']"
18312,2018-11-15,"['1', '1', '5']"
18311,2018-11-14,"['8', '6', '4']"
18310,2018-11-13,"['3', '6', '7']"
18309,2018-11-12,"['7', '4', '3']"
18308,2018-11-11,"['4', '1', '2']"
18307,2018-11-10,"['6', '4', '8']"
18306,2018-11-09,"['0', '0', '0']"
18305,2018-11-08,"['1', '9', '0']"
18304,2018-11-07,"['0', '2', '0']"
18303,2018-11-06,"['6', '0', '8']"
18302,2018-11-05,"['1', '9', '9']"
18301,2018-11-04,"['9', '0', '1']"
18300,2018-11-03,"['0', '9', '4']"
18299,2018-11-02,"['4', '8', '9']"
18298,2018-11-01,"['2', '5', '3']"
18297,2018-10-31,"['4', '6', '1']"
18296,2018-10-30,"['0', '3', '0']"
18295,2018-10-29,"['1', '6', '8']"
18294,2018-10-28,"['8', '3', '2']"
18293,2018-10-27,"['1', '5', '1']"
18292,2018-10-26,"['4', '5', '9']"
18291,2018-10-25,"['6', '3', '9']"
18290,2018-10-24,"['5', '3', '5']"
18289,2018-10-23,"['9', '1', '3']"
18288,2018-10-22,"['2', '7', '4']"
18287,2018-10-21,"['0', '5', '1']"
18286,2018-10-20,"['9', '3', '1']"
18285,2018-10-19,"['0', '8', '0']"
18284,2018-10-18,"['8', '5', '8']"
18283,2018-10-17,"['8', '9', '9']"
18282,2018-10-16,"['7', '8', '0']"
18281,2018-10-15,"['1', '0', '6']"
18280,2018-10-14,"['9', '5', '1']"
18279,2018-10-13,"['6', '4', '5']"
18278,2018-10-12,"['8', '1', '2']"
18277,2018-10-11,"['0', '2', '5']"
18276,2018-10-10,"['4', '1', '8']"
18275,2018-10-09,"['3', '9', '3']"
18274,2018-10-08,"['6', '5', '6']"
18273,2018-10-07,"['6', '2', '4']"
18272,2018-10-06,"['0', '7', '8']"
18271,2018-10-05,"['7', '7', '5']"
18270,2018-10-04,"['9', '5', '9']"
18269,2018-10-03,"['4', '2', '6']"
18268,2018-10-02,"['1', '8', '7']"
18267,2018-10-01,"['1', '0', '5']"
18266,2018-09-30,"['6', '9', '7']"
18265,2018-09-29,"['1', '8', '0']"
18264,2018-09-28,"['1', '9', '0']"
18263,2018-09-27,"['4', '5', '2']"
18262,2018-09-26,"['3', '6', '7']"
18261,2018-09-25,"['3', '5', '2']"
18260,2018-09-24,"['6', '6', '4']"
18259,2018-09-23,"['1', '4', '9']"
18258,2018-09-22,"['0', '4', '5']"
18257,2018-09-21,"['6', '0', '3']"
18256,2018-09-20,"['1', '4', '7']"
18255,2018-09-19,"['7', '1', '0']"
18254,2018-09-18,"['0', '2', '1']"
18253,2018-09-17,"['8', '5', '2']"
18252,2018-09-16,"['5', '7', '8']"
18251,2018-09-15,"['0', '3', '0']"
18250,2018-09-14,"['9', '1', '7']"
18249,2018-09-13,"['2', '8', '9']"
18248,2018-09-12,"['9', '3', '9']"
18247,2018-09-11,"['3', '0', '3']"
18246,2018-09-10,"['9', '1', '6']"
18245,2018-09-09,"['0', '5', '1']"
18244,2018-09-08,"['6', '4', '9']"
18243,2018-09-07,"['7', '9', '0']"
18242,2018-09-06,"['0', '9', '7']"
18241,2018-09-05,"['1', '7', '0']"
18240,2018-09-04,"['4', '9', '2']"
18239,2018-09-03,"['8', '3', '7']"
18238,2018-09-02,"['3', '9', '2']"
18237,2018-09-01,"['1', '5', '7']"
18236,2018-08-31,"['7', '0', '3']"
18235,2018-08-30,"['5', '8', '4']"
18234,2018-08-29,"['5', '0', '5']"
18233,2018-08-28,"['1', '1', '1']"
18232,2018-08-27,"['5', '3', '1']"
18231,2018-08-26,"['5', '1', '6']"
18230,2018-08-25,"['7', '6', '4']"
18229,2018-08-24,"['4', '4', '3']"
18228,2018-08-23,"['8', '2', '9']"
18227,2018-08-22,"['0', '8', '8']"
18226,2018-08-21,"['9', '2', '9']"
18225,2018-08-20,"['6', '4', '8']"
18224,2018-08-19,"['7', '9', '1']"
18223,2018-08-18,"['1', '9', '7']"
18222,2018-08-17,"['3', '2', '3']"
18221,2018-08-16,"['5', '9', '8']"
18220,2018-08-15,"['2', '0', '8']"
18219,2018-08-14,"['8', '7', '1']"
18218,2018-08-13,"['8', '7', '7']"
18217,2018-08-12,"['8', '5', '6']"
18216,2018-08-11,"['8', '9', '0']"
18215,2018-08-10,"['9', '3', '9']"
18214,2018-08-09,"['8', '1', '7']"
18213,2018-08-08,"['3', '5', '5']"
18212,2018-08-07,"['5', '1', '5']"
18211,2018-08-06,"['8', '9', '3']"
18210,2018-08-05,"['9', '5', '6']"
18209,2018-08-04,"['1', '0', '0']"
18208,2018-08-03,"['1', '7', '5']"
18207,2018-08-02,"['0', '0', '6']"
18206,2018-08-01,"['2', '6', '7']"
18205,2018-07-31,"['2', '9', '8']"
18204,2018-07-30,"['7', '1', '3']"
18203,2018-07-29,"['2', '1', '6']"
18202,2018-07-28,"['2', '2', '4']"
18201,2018-07-27,"['6', '2', '9']"
18200,2018-07-26,"['5', '9', '8']"
18199,2018-07-25,"['4', '4', '2']"
18198,2018-07-24,"['8', '9', '3']"
18197,2018-07-23,"['1', '3', '3']"
18196,2018-07-22,"['3', '3', '2']"
18195,2018-07-21,"['4', '8', '4']"
18194,2018-07-20,"['6', '0', '5']"
18193,2018-07-19,"['3', '8', '2']"
18192,2018-07-18,"['9', '3', '9']"
18191,2018-07-17,"['3', '4', '0']"
18190,2018-07-16,"['0', '3', '1']"
18189,2018-07-15,"['2', '6', '9']"
18188,2018-07-14,"['0', '6', '8']"
18187,2018-07-13,"['5', '0', '7']"
18186,2018-07-12,"['3', '5', '0']"
18185,2018-07-11,"['6', '9', '6']"
18184,2018-07-10,"['2', '6', '1']"
18183,2018-07-09,"['8', '4', '4']"
18182,2018-07-08,"['4', '0', '0']"
18181,2018-07-07,"['5', '7', '3']"
18180,2018-07-06,"['4', '3', '3']"
18179,2018-07-05,"['7', '1', '3']"
18178,2018-07-04,"['5', '2', '8']"
18177,2018-07-03,"['2', '2', '2']"
18176,2018-07-02,"['2', '0', '7']"
18175,2018-07-01,"['6', '1', '2']"
18174,2018-06-30,"['0', '1', '9']"
18173,2018-06-29,"['2', '4', '2']"
18172,2018-06-28,"['2', '4', '7']"
18171,2018-06-27,"['2', '9', '7']"
18170,2018-06-26,"['1', '2', '7']"
18169,2018-06-25,"['7', '1', '6']"
18168,2018-06-24,"['2', '7', '5']"
18167,2018-06-23,"['1', '3', '2']"
18166,2018-06-22,"['0', '6', '1']"
18165,2018-06-21,"['3', '0', '2']"
18164,2018-06-20,"['6', '1', '0']"
18163,2018-06-19,"['5', '7', '0']"
18162,2018-06-18,"['2', '6', '0']"
18161,2018-06-17,"['4', '7', '3']"
18160,2018-06-16,"['1', '0', '8']"
18159,2018-06-15,"['2', '9', '4']"
18158,2018-06-14,"['3', '0', '0']"
18157,2018-06-13,"['2', '0', '9']"
18156,2018-06-12,"['3', '2', '2']"
18155,2018-06-11,"['1', '6', '0']"
18154,2018-06-10,"['0', '3', '1']"
18153,2018-06-09,"['0', '8', '3']"
18152,2018-06-08,"['4', '6', '9']"
18151,2018-06-07,"['6', '9', '4']"
18150,2018-06-06,"['6', '7', '5']"
18149,2018-06-05,"['8', '7', '1']"
18148,2018-06-04,"['8', '1', '9']"
18147,2018-06-03,"['0', '3', '8']"
18146,2018-06-02,"['6', '2', '3']"
18145,2018-06-01,"['5', '2', '3']"
18144,2018-05-31,"['0', '1', '9']"
18143,2018-05-30,"['3', '2', '2']"
18142,2018-05-29,"['9', '4', '9']"
18141,2018-05-28,"['2', '7', '9']"
18140,2018-05-27,"['6', '8', '0']"
18139,2018-05-26,"['8', '2', '8']"
18138,2018-05-25,"['1', '5', '3']"
18137,2018-05-24,"['1', '7', '7']"
18136,2018-05-23,"['0', '6', '4']"
18135,2018-05-22,"['0', '8', '6']"
18134,2018-05-21,"['2', '9', '9']"
18133,2018-05-20,"['4', '1', '4']"
18132,2018-05-19,"['4', '7', '0']"
18131,2018-05-18,"['5', '4', '8']"
18130,2018-05-17,"['9', '8', '9']"
18129,2018-05-16,"['9', '8', '2']"
18128,2018-05-15,"['2', '2', '9']"
18127,2018-05-14,"['2', '9', '7']"
18126,2018-05-13,"['4', '7', '8']"
18125,2018-05-12,"['3', '2', '8']"
18124,2018-05-11,"['1', '4', '1']"
18123,2018-05-10,"['8', '3', '0']"
18122,2018-05-09,"['1', '3', '7']"
18121,2018-05-08,"['5', '1', '4']"
18120,2018-05-07,"['4', '4', '2']"
18119,2018-05-06,"['5', '0', '5']"
18118,2018-05-05,"['7', '8', '6']"
18117,2018-05-04,"['8', '3', '6']"
18116,2018-05-03,"['8', '2', '0']"
18115,2018-05-02,"['1', '8', '0']"
18114,2018-05-01,"['8', '8', '7']"
18113,2018-04-30,"['7', '9', '8']"
18112,2018-04-29,"['2', '5', '6']"
18111,2018-04-28,"['8', '1', '7']"
18110,2018-04-27,"['7', '4', '6']"
18109,2018-04-26,"['3', '3', '1']"
18108,2018-04-25,"['0', '1', '0']"
18107,2018-04-24,"['9', '4', '7']"
18106,2018-04-23,"['9', '6', '0']"
18105,2018-04-22,"['8', '4', '5']"
18104,2018-04-21,"['7', '6', '7']"
18103,2018-04-20,"['7', '9', '6']"
18102,2018-04-19,"['9', '3', '8']"
18101,2018-04-18,"['7', '9', '8']"
18100,2018-04-17,"['8', '3', '0']"
18099,2018-04-16,"['3', '3', '2']"
18098,2018-04-15,"['3', '9', '4']"
18097,2018-04-14,"['3', '0', '4']"
18096,2018-04-13,"['4', '7', '5']"
18095,2018-04-12,"['8', '9', '4']"
18094,2018-04-11,"['7', '3', '4']"
18093,2018-04-10,"['5', '5', '3']"
18092,2018-04-09,"['1', '5', '3']"
18091,2018-04-08,"['0', '7', '1']"
18090,2018-04-07,"['9', '4', '2']"
18089,2018-04-06,"['7', '7', '3']"
18088,2018-04-05,"['2', '1', '2']"
18087,2018-04-04,"['8', '2', '7']"
18086,2018-04-03,"['3', '9', '1']"
18085,2018-04-02,"['3', '3', '4']"
18084,2018-04-01,"['5', '5', '4']"
18083,2018-03-31,"['7', '5', '2']"
18082,2018-03-30,"['5', '7', '4']"
18081,2018-03-29,"['9', '4', '8']"
18080,2018-03-28,"['7', '4', '9']"
18079,2018-03-27,"['7', '3', '8']"
18078,2018-03-26,"['2', '9', '4']"
18077,2018-03-25,"['1', '3', '7']"
18076,2018-03-24,"['3', '2', '8']"
18075,2018-03-23,"['3', '4', '2']"
18074,2018-03-22,"['9', '4', '1']"
18073,2018-03-21,"['7', '4', '8']"
18072,2018-03-20,"['4', '1', '2']"
18071,2018-03-19,"['5', '0', '3']"
18070,2018-03-18,"['8', '9', '0']"
18069,2018-03-17,"['1', '4', '1']"
18068,2018-03-16,"['9', '1', '1']"
18067,2018-03-15,"['1', '7', '1']"
18066,2018-03-14,"['2', '2', '6']"
18065,2018-03-13,"['2', '3', '8']"
18064,2018-03-12,"['2', '3', '4']"
18063,2018-03-11,"['8', '2', '0']"
18062,2018-03-10,"['8', '3', '6']"
18061,2018-03-09,"['1', '3', '4']"
18060,2018-03-08,"['7', '7', '4']"
18059,2018-03-07,"['7', '5', '5']"
18058,2018-03-06,"['4', '9', '7']"
18057,2018-03-05,"['2', '5', '2']"
18056,2018-03-04,"['4', '4', '6']"
18055,2018-03-03,"['0', '4', '3']"
18054,2018-03-02,"['6', '6', '3']"
18053,2018-03-01,"['8', '2', '7']"
18052,2018-02-28,"['9', '5', '8']"
18051,2018-02-27,"['4', '2', '4']"
18050,2018-02-26,"['7', '8', '0']"
18049,2018-02-25,"['8', '1', '8']"
18048,2018-02-24,"['4', '4', '4']"
18047,2018-02-23,"['0', '8', '8']"
